code,name,unit,unit_description,number_occurrences,Dataset,name_standardised,unit_name_standardised_with_conversion,unit_factor
5312,Area harvested,ha,hectares,539828,QCL,Area harvested,ha,1
5301,Domestic supply quantity,1000 tonnes,thousand tonnes,1043347,FBSC,Domestic supply,tonnes,1.00E+03
5911,Export Quantity,1000 tonnes,thousand tonnes,842139,FBSC,Exports,tonnes,1.00E+03
684,Fat supply quantity (g/capita/day),g/capita/day,grams per capita per day,866317,FBSC,Food available for consumption,fat_g_per_day_per_capita,1
5521,Feed,1000 tonnes,thousand tonnes,219816,FBSC,Feed,tonnes,1.00E+03
5142,Food,1000 tonnes,thousand tonnes,966295,FBSC,Food,tonnes,1.00E+03
664,Food supply (kcal/capita/day),kcal/capita/day,kilocalorie per capita per day,1005702,FBSC,Food available for consumption,kcal_per_day_per_capita,1
645,Food supply quantity (kg/capita/yr),kg,kilograms,966185,FBSC,Food available for consumption,kg_per_capita_per_year,1
5611,Import Quantity,1000 tonnes,thousand tonnes,1008063,FBSC,Imports,tonnes,1.00E+03
5313,Laying,1000 Head,thousand head,23081,QCL,,,
5123,Losses,1000 tonnes,thousand tonnes,339465,FBSC,Waste in Supply Chain,tonnes,1.00E+03
5154,Other uses (non-food),1000 tonnes,thousand tonnes,418035,FBSC,Other uses,tonnes,1.00E+03
5131,Processing,1000 tonnes,thousand tonnes,199001,FBSC,,,
5321,Producing Animals/Slaughtered,1000 Head,thousand head,35354,QCL,Producing or slaughtered animals,animals,1000
5320,Producing Animals/Slaughtered,Head,head,149439,QCL,Producing or slaughtered animals,animals,1
5513,Production,1000 No,thousand number,13174,QCL,,,
5510,Production,tonnes,tonnes,996973,QCL,Production,tonnes,1
5511,Production,1000 tonnes,thousand tonnes,683798,FBSC,,,
674,Protein supply quantity (g/capita/day),g/capita/day,grams per capita per day,868087,FBSC,Food available for consumption,protein_g_per_day_per_capita,1
5170,Residuals,1000 tonnes,thousand tonnes,89573,FBSC,,,
5527,Seed,1000 tonnes,thousand tonnes,159077,FBSC,,,
5072,Stock Variation,1000 tonnes,thousand tonnes,552014,FBSC,,,
5114,Stocks,No,number,6085,QCL,,,
5112,Stocks,1000 Head,thousand head,36311,QCL,,,
5111,Stocks,Head,head,86112,QCL,,,
5171,Tourist consumption,1000 tonnes,thousand tonnes,19516,FBSC,,,
5422,Yield,hg,hectogram,8857,QCL,,,
5410,Yield,100mg/An,100 milligrams per animal,23088,QCL,Yield,kg_per_animal,1.00E-04
5420,Yield,hg/An,hectograms per animal,63705,QCL,Yield,kg_per_animal,1.00E-01
5419,Yield,hg/ha,hectograms per hectare,534847,QCL,Yield,tonnes_per_ha,1.00E-04
5424,Yield/Carcass Weight,0.1g/An,0.1 grams per animal,34674,QCL,Yield,kg_per_animal,1.00E-04
5417,Yield/Carcass Weight,hg/An,hectograms per animal,69432,QCL,Yield,kg_per_animal,1.00E-01